b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Algebraic_geometry',b'Linear algebra',b'Algebraic geometry'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Systems_of_polynomial_equations',b'Linear algebra',b'Systems of polynomial equations'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Representation_theory',b'Linear algebra',b'Representation theory'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Functional_analysis',b'Linear algebra',b'Functional analysis'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Mathematical_analysis',b'Linear algebra',b'Mathematical analysis'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Lp_space',b'Linear algebra',b'Lp space'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Algebra_over_a_field',b'Linear algebra',b'Algebra over a field'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Multilinear_algebra',b'Linear algebra',b'Multilinear algebra'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Dual_space',b'Linear algebra',b'Dual space'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Tensor_product',b'Linear algebra',b'Tensor product'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Module_(mathematics)',b'Linear algebra',b'Module (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Field_(mathematics)',b'Linear algebra',b'Field (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Free_module',b'Linear algebra',b'Free module'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_map',b'Linear algebra',b'Linear map'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_functional',b'Linear algebra',b'Linear functional'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Cramer%27s_rule',b'Linear algebra',"b""Cramer's rule"""
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/System_of_linear_equations',b'Linear algebra',b'System of linear equations'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Homogeneous_coordinates',b'Linear algebra',b'Homogeneous coordinates'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_equation',b'Linear algebra',b'Linear equation'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Quantum_mechanics',b'Linear algebra',b'Quantum mechanics'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Observable',b'Linear algebra',b'Observable'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Momentum',b'Linear algebra',b'Momentum'
